V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
810,396,33,552,758,121,357,561,72,995
53,423,897,809,585,652,932,722,468,467
979,379,293,383,243,958,429,854,335,411
37,355,408,591,17,885,477,993,335,45
615,586,497,209,650,998,159,359,484,624
972,38,298,233,984,311,194,466,330,654
83,385,248,116,875,531,285,315,198,121
125,884,787,911,822,225,271,584,357,596
183,967,826,908,432,426,207,210,912,562
150,960,810,923,703,915,512,1,735,641
873,221,137,280,131,559,536,515,544,655
361,913,522,979,84,646,780,983,578,950
926,55,717,322,784,536,852,545,38,317
934,184,75,705,298,990,62,797,498,242
221,9,708,385,677,777,254,193,235,773
748,447,129,964,999,188,806,788,173,847
962,865,143,120,107,236,456,280,127,508
123,540,707,645,488,863,280,172,76,687
732,233,807,65,123,8,566,768,937,967
882,207,666,78,213,839,301,39,638,722
453,452,955,617,264,12,435,391,114,179
243,768,753,160,313,878,354,878,538,974
297,957,726,560,811,829,299,582,68,12
734,966,718,691,728,777,711,642,938,763
467,159,948,730,22,520,738,418,913,55
664,433,53,278,770,330,783,142,91,472
15,807,439,846,142,366,881,828,593,369
724,702,572,465,940,324,502,245,115,202
568,735,517,822,587,851,984,954,561,273
910,196,619,184,931,894,267,898,200,725
54,388,745,381,801,150,583,396,534,254
626,427,493,401,71,113,739,191,741,624
107,746,671,587,823,824,797,473,800,213
792,945,82,597,5,288,439,917,375,313
716,518,531,511,359,763,51,33,532,940
169,838,53,68,703,949,88,111,876,495
330,350,151,421,529,831,351,670,990,443
461,96,407,840,58,572,653,68,19,975
291,623,532,925,283,310,729,803,810,197
987,697,711,310,865,843,606,436,859,169
82,665,264,370,125,498,349,14,128,796
152,198,540,444,375,719,223,694,475,341
358,100,199,63,784,396,752,153,239,933
995,497,410,388,92,849,761,477,282,99
33,231,86,613,394,63,333,90,217,414
924,507,22,4,947,868,689,46,162,892
477,80,281,824,777,81,124,954,424,864
503,344,437,919,889,125,750,603,917,296
886,800,307,925,97,397,562,373,733,577
214,126,367,65,813,450,562,95,255,730
100,928,592,852,761,886,730,264,160,676
859,960,989,656,725,519,788,467,178,827
666,527,489,48,135,105,257,59,646,238
715,747,268,142,286,381,378,210,644,907
913,89,146,995,627,848,96,632,376,995
243,219,32,391,382,955,122,381,633,848
566,122,446,189,476,864,113,920,269,841
879,997,325,503,887,162,730,581,551,408
188,242,357,949,283,94,847,820,992,261
638,851,477,575,566,593,530,16,698,146
70,628,140,120,911,429,634,687,455,457
268,416,870,221,340,573,481,697,130,592
4,137,228,352,715,887,971,899,83,32
140,808,606,350,489,5,987,386,332,675
718,986,697,944,536,239,591,176,123,451
272,132,148,610,515,979,729,675,822,537
922,696,207,271,398,548,674,397,354,907
230,389,752,495,455,408,461,711,989,988
299,91,150,45,916,867,141,832,614,564
78,834,361,83,453,855,730,558,923,426
431,387,454,491,402,546,683,469,325,348
210,668,289,405,570,41,891,55,337,687
590,627,901,25,838,322,675,832,541,761
815,61,177,532,415,423,382,655,512,41
224,658,251,620,612,493,103,716,629,919
594,500,774,612,574,434,496,246,509,748
739,823,969,48,100,301,332,739,624,121
794,181,721,467,710,682,388,276,479,319
958,106,183,697,798,615,786,937,215,352
207,12,124,46,168,998,516,712,992,227
164,413,648,895,858,166,427,320,716,578
765,417,272,743,132,616,679,913,720,490
252,752,465,285,372,226,258,746,477,19
326,351,309,173,737,4,681,628,592,900
867,876,98,968,327,311,674,471,381,719
781,711,500,505,714,401,137,560,289,845
435,980,653,641,701,857,10,988,777,531
272,618,207,107,298,112,616,550,205,28
963,66,678,383,780,173,337,447,225,451
138,664,818,360,301,834,53,996,424,254
697,377,55,945,179,965,404,864,162,536
540,555,28,775,105,210,617,681,864,888
742,787,115,369,518,636,242,155,51,908
198,282,51,66,460,829,804,273,604,334
144,144,301,972,145,374,413,128,383,755
251,800,995,208,635,907,785,885,88,663
3,196,402,201,668,624,1,806,931,115
636,467,195,797,517,152,540,996,439,749
803,37,947,612,366,253,970,482,331,869
781,660,422,262,684,392,134,263,305,724
