V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
126,638,549,705,267,486,837,501,606,975
920,276,349,956,523,516,621,146,129,619
831,823,431,864,326,40,744,238,89,114
880,522,627,449,418,840,265,411,709,234
217,426,168,167,213,896,798,310,94,52
521,266,190,690,66,931,495,487,453,182
963,158,716,199,141,582,264,215,461,615
337,877,504,856,915,540,706,853,728,685
192,185,18,140,298,726,80,773,899,365
631,821,825,803,997,110,870,899,440,984
933,39,112,774,571,7,67,600,540,183
626,820,320,877,691,913,884,440,294,378
717,74,431,510,982,882,831,498,639,280
727,910,357,126,455,989,303,768,817,579
164,836,860,85,409,836,310,772,325,108
877,814,676,808,916,935,985,112,460,571
308,565,739,740,298,59,503,610,505,26
90,723,943,147,389,453,596,516,750,21
747,478,916,136,290,25,940,748,167,687
517,325,618,286,898,783,94,141,401,549
72,849,483,191,455,804,337,36,666,572
941,265,624,957,321,792,776,342,28,852
129,187,24,314,145,932,950,162,154,863
907,268,819,874,328,121,862,65,975,56
194,857,676,948,135,983,807,901,620,425
476,285,249,81,669,378,107,100,862,590
743,384,583,712,286,657,115,349,121,789
586,752,152,550,205,597,80,603,805,187
389,121,912,556,202,294,177,550,937,77
65,698,619,718,229,801,240,938,85,20
149,661,333,71,708,508,882,979,348,998
914,498,581,662,298,521,545,633,851,977
16,323,247,370,144,459,16,703,340,999
521,477,794,151,553,20,385,782,665,329
630,916,664,535,164,548,312,791,827,262
384,177,92,920,305,513,669,742,283,809
627,140,512,568,976,119,194,915,618,695
318,675,734,307,182,258,295,573,50,907
510,856,15,305,299,545,327,760,299,75
337,588,100,397,62,337,904,808,305,227
379,672,337,265,78,557,837,934,644,606
107,878,754,832,817,876,716,784,375,119
245,283,750,881,671,381,899,985,537,794
611,537,761,549,993,155,332,895,496,756
929,213,888,171,601,113,792,281,528,222
404,343,38,688,954,958,764,759,759,617
537,715,10,242,96,486,22,1,56,443
746,323,578,611,938,506,295,704,75,902
944,28,262,592,412,465,130,46,34,674
345,420,715,922,243,550,265,844,949,117
348,741,149,795,727,217,778,111,289,502
781,598,871,216,839,197,222,27,402,708
641,303,338,885,816,929,496,462,913,711
229,641,525,105,164,94,350,906,644,755
556,5,475,377,271,210,722,489,339,373
822,969,485,887,488,979,236,405,533,271
345,884,131,73,732,711,133,625,783,397
475,858,489,821,260,363,661,688,980,286
915,845,119,272,976,541,632,892,689,328
673,267,467,432,575,937,393,28,72,486
776,84,831,874,605,865,40,619,997,47
864,22,970,491,656,553,622,432,1,449
275,646,142,310,654,857,417,699,350,694
757,235,753,386,950,918,857,257,439,53
567,326,764,422,132,40,749,221,108,464
759,707,751,185,721,85,885,335,443,299
739,834,266,393,44,428,927,880,205,514
936,277,893,350,398,521,605,44,321,996
432,243,301,759,186,515,534,781,523,58
706,398,124,288,281,582,838,468,691,624
24,863,898,84,952,451,989,79,618,677
869,264,965,882,443,902,15,358,739,426
566,543,447,322,905,530,81,508,918,564
134,433,434,579,126,140,899,555,35,261
994,173,318,554,108,28,309,410,23,401
536,895,216,929,938,738,753,428,565,190
304,41,260,870,452,688,729,828,529,830
766,164,578,353,868,519,567,283,339,458
387,946,725,803,265,855,462,58,769,611
841,508,477,816,255,791,125,59,830,651
234,327,203,684,177,79,486,429,316,193
378,294,865,250,425,236,711,650,804,432
326,101,755,201,175,280,157,291,878,138
783,682,406,882,770,901,963,930,961,991
638,558,377,898,346,274,267,916,697,352
282,584,403,948,149,5,287,853,642,634
722,987,620,778,764,91,573,72,335,227
374,541,846,517,937,989,113,553,630,959
729,43,693,470,168,811,570,247,814,265
844,726,904,762,49,45,987,441,114,38
102,707,751,576,317,452,765,997,499,396
28,617,863,66,467,743,679,971,12,367
376,136,213,166,701,830,199,834,34,173
377,97,287,961,342,694,821,508,581,703
420,269,78,835,706,543,912,208,835,696
56,880,350,730,634,21,710,140,76,506
520,75,100,135,387,899,216,327,598,168
431,806,983,591,208,429,111,782,746,911
536,382,729,31,267,348,34,651,338,513
628,477,573,840,330,54,906,605,77,298
